PERMNO,date,TICKER,PRC,RET
14593,20100430,AAPL,261.09000,0.111021
14593,20100528,AAPL,256.88000,-0.016125
14593,20100630,AAPL,251.53000,-0.020827
14593,20100730,AAPL,257.25000,0.022741
14593,20100831,AAPL,243.10001,-0.055005
14593,20100930,AAPL,283.75000,0.167215
14593,20101029,AAPL,300.98001,0.060723
14593,20101130,AAPL,311.14999,0.033790
14593,20101231,AAPL,322.56000,0.036670
14593,20110131,AAPL,339.32001,0.051959
14593,20110228,AAPL,353.20999,0.040935
14593,20110331,AAPL,348.50751,-0.013314
14593,20110429,AAPL,350.13000,0.004656
14593,20110531,AAPL,347.82999,-0.006569
14593,20110630,AAPL,335.67001,-0.034960
14593,20110729,AAPL,390.48001,0.163285
14593,20110831,AAPL,384.82999,-0.014469
14593,20110930,AAPL,381.32001,-0.009121
14593,20111031,AAPL,404.78000,0.061523
14593,20111130,AAPL,382.20001,-0.055783
14593,20111230,AAPL,405.00000,0.059655
14593,20120131,AAPL,456.48001,0.127111
14593,20120229,AAPL,542.44000,0.188311
14593,20120330,AAPL,599.54999,0.105284
14593,20120430,AAPL,583.97998,-0.025969
14593,20120531,AAPL,577.72998,-0.010702
14593,20120629,AAPL,584.00000,0.010853
14593,20120731,AAPL,610.76001,0.045822
14593,20120831,AAPL,665.23999,0.093539
14593,20120928,AAPL,667.10498,0.002803
14593,20121031,AAPL,595.32001,-0.107607
14593,20121130,AAPL,585.28003,-0.012413
14593,20121231,AAPL,532.17291,-0.090738
14593,20130131,AAPL,455.48999,-0.144094
14593,20130228,AAPL,441.39999,-0.025116
14593,20130328,AAPL,442.66000,0.002855
14593,20130430,AAPL,442.78000,0.000271
14593,20130531,AAPL,449.73499,0.022596
14593,20130628,AAPL,396.53000,-0.118303
14593,20130731,AAPL,452.53000,0.141225
14593,20130830,AAPL,487.21600,0.083389
14593,20130930,AAPL,476.75000,-0.021481
14593,20131031,AAPL,522.70203,0.096386
14593,20131129,AAPL,556.07001,0.069673
14593,20131231,AAPL,561.02002,0.008902
14593,20140131,AAPL,500.60001,-0.107697
14593,20140228,AAPL,526.23999,0.057311
14593,20140331,AAPL,536.73999,0.019953
14593,20140430,AAPL,590.09003,0.099396
14593,20140530,AAPL,633.00000,0.078293
14593,20140630,AAPL,92.93000,0.027662
14593,20140731,AAPL,95.60000,0.028731
14593,20140829,AAPL,102.50000,0.077092
14593,20140930,AAPL,100.75000,-0.017073
14593,20141031,AAPL,108.00000,0.071960
14593,20141128,AAPL,118.93000,0.105556
14593,20141231,AAPL,110.38000,-0.071891
14593,20150130,AAPL,117.16000,0.061424
14593,20150227,AAPL,128.46001,0.100461
14593,20150331,AAPL,124.43000,-0.031372
14593,20150430,AAPL,125.15000,0.005786
14593,20150529,AAPL,130.28000,0.045146
14593,20150630,AAPL,125.42500,-0.037266
14593,20150731,AAPL,121.30000,-0.032888
14593,20150831,AAPL,112.76000,-0.066117
14593,20150930,AAPL,110.30000,-0.021816
14593,20151030,AAPL,119.50000,0.083409
14593,20151130,AAPL,118.30000,-0.005690
14593,20151231,AAPL,105.26000,-0.110228
14593,20160129,AAPL,97.34000,-0.075242
14593,20160229,AAPL,96.69000,-0.001335
14593,20160331,AAPL,108.99000,0.127211
14593,20160429,AAPL,93.74000,-0.139921
14593,20160531,AAPL,99.86000,0.071368
14593,20160630,AAPL,95.60000,-0.042660
14593,20160729,AAPL,104.21000,0.090063
14593,20160831,AAPL,106.10000,0.023606
14593,20160930,AAPL,113.05000,0.065504
14593,20161031,AAPL,113.54000,0.004334
14593,20161130,AAPL,110.52000,-0.021578
14593,20161230,AAPL,115.82000,0.047955
14593,20170131,AAPL,121.35000,0.047746
14593,20170228,AAPL,136.99001,0.133581
14593,20170331,AAPL,143.66000,0.048690
14593,20170428,AAPL,143.64999,-0.000070
14593,20170531,AAPL,152.75999,0.067804
14593,20170630,AAPL,144.02000,-0.057214
14593,20170731,AAPL,148.73000,0.032704
14593,20170831,AAPL,164.00000,0.106905
14593,20170929,AAPL,154.12000,-0.060244
14593,20171031,AAPL,169.03999,0.096808
14593,20171130,AAPL,171.85001,0.020350
14593,20171229,AAPL,169.23000,-0.015246
